control_id,title,page,chapter,profile_scope,status_impl,status_tested,status_validated,notes
17.3.2,Ensure 'Audit Process Creation' is set to include 'Success' (Automated),403,17,All,,,,
17.4.1,Ensure 'Audit Directory Service Access' is set to include 'Failure' (DC only) (Automated),406,17,DC only,,,,
17.4.2,Ensure 'Audit Directory Service Changes' is set to include 'Success' (DC only) (Automated),408,17,DC only,,,,
17.5.1,Ensure 'Audit Account Lockout' is set to include 'Failure' (Automated),411,17,All,,,,
17.5.2,Ensure 'Audit Group Membership' is set to include 'Success' (Automated),413,17,All,,,,
17.5.3,Ensure 'Audit Logoff' is set to include 'Success' (Automated),415,17,All,,,,
17.5.4,Ensure 'Audit Logon' is set to 'Success and Failure' (Automated),417,17,All,,,,
17.5.5,Ensure 'Audit Other Logon/Logoff Events' is set to 'Success and Failure' (Automated),419,17,All,,,,
17.5.6,Ensure 'Audit Special Logon' is set to include 'Success' (Automated),421,17,All,,,,
17.6.1,Ensure 'Audit Detailed File Share' is set to include 'Failure' (Automated),424,17,All,,,,
17.6.2,Ensure 'Audit File Share' is set to 'Success and Failure' (Automated),426,17,All,,,,
17.6.3,Ensure 'Audit Other Object Access Events' is set to 'Success and Failure' (Automated),428,17,All,,,,
17.6.4,Ensure 'Audit Removable Storage' is set to 'Success and Failure' (Automated),430,17,All,,,,
17.7.1,Ensure 'Audit Audit Policy Change' is set to include 'Success' (Automated),433,17,All,,,,
17.7.2,Ensure 'Audit Authentication Policy Change' is set to include 'Success' (Automated) 435,,17,All,,,,
17.7.3,Ensure 'Audit Authorization Policy Change' is set to include 'Success' (Automated) . 437,,17,All,,,,
17.7.4,Ensure 'Audit MPSSVC Rule-Level Policy Change' is set to 'Success and Failure' (Automated),439,17,All,,,,
17.7.5,Ensure 'Audit Other Policy Change Events' is set to include 'Failure' (Automated),442,17,All,,,,
17.8.1,Ensure 'Audit Sensitive Privilege Use' is set to 'Success' (Automated),445,17,All,,,,
17.9.1,Ensure 'Audit IPsec Driver' is set to 'Success and Failure' (Automated),448,17,All,,,,
17.9.2,Ensure 'Audit Other System Events' is set to 'Success and Failure' (Automated),451,17,All,,,,
17.9.3,Ensure 'Audit Security State Change' is set to include 'Success' (Automated),453,17,All,,,,
17.9.4,Ensure 'Audit Security System Extension' is set to include 'Success' (Automated),455,17,All,,,,
17.9.5,Ensure 'Audit System Integrity' is set to 'Success and Failure' (Automated),457,17,All,,,,
18.1.1.1,Ensure 'Prevent enabling lock screen camera' is set to 'Enabled' (Automated),461,18,All,,,,
18.1.1.2,Ensure 'Prevent enabling lock screen slide show' is set to 'Enabled' (Automated) .. 463,,18,All,,,,
18.1.2.2,Ensure 'Allow users to enable online speech recognition services' is set to 'Disabled' (Automated),467,18,All,,,,
18.1.3,Ensure 'Allow Online Tips' is set to 'Disabled' (Automated),469,18,All,,,,
18.4.1,Ensure 'Apply UAC restrictions to local accounts on network logons' is set to 'Enabled' (MS only) (Automated),473,18,MS only,,,,
18.4.2,Ensure 'Configure SMB v1 client driver' is set to 'Enabled: Disable driver (recommended)' (Automated),475,18,All,,,,
18.4.3,Ensure 'Configure SMB v1 server' is set to 'Disabled' (Automated),477,18,All,,,,
18.4.4,Ensure 'Enable Certificate Padding' is set to 'Enabled' (Automated),479,18,All,,,,
18.4.5,Ensure 'Enable Structured Exception Handling Overwrite Protection (SEHOP)' is set to 'Enabled' (Automated),482,18,All,,,,
18.4.6,Ensure 'NetBT NodeType configuration' is set to 'Enabled: P-node (recommended)' (Automated),484,18,All,,,,
18.5.1,Ensure 'MSS: (AutoAdminLogon) Enable Automatic Logon' is set to 'Disabled' (Automated),487,18,All,,,,
18.5.2,"Ensure 'MSS: (DisableIPSourceRouting IPv6) IP source routing protection level' is set to 'Enabled: Highest protection, source routing is completely disabled' (Automated)",489,18,All,,,,
18.5.3,"Ensure 'MSS: (DisableIPSourceRouting) IP source routing protection level' is set to 'Enabled: Highest protection, source routing is completely disabled' (Automated)",491,18,All,,,,
18.5.4,Ensure 'MSS: (EnableICMPRedirect) Allow ICMP redirects to override OSPF generated routes' is set to 'Disabled' (Automated),493,18,All,,,,
18.5.5,"Ensure 'MSS: (KeepAliveTime) How often keep-alive packets are sent in milliseconds' is set to 'Enabled: 300,000 or 5 minutes' (Automated)",495,18,All,,,,
18.5.6,Ensure 'MSS: (NoNameReleaseOnDemand) Allow the computer to ignore NetBIOS name release requests except from WINS servers' is set to 'Enabled' (Automated),497,18,All,,,,
18.5.7,Ensure 'MSS: (PerformRouterDiscovery) Allow IRDP to detect and configure Default Gateway addresses' is set to 'Disabled' (Automated),499,18,All,,,,
18.5.8,Ensure 'MSS: (SafeDllSearchMode) Enable Safe DLL search mode' is set to 'Enabled' (Automated),501,18,All,,,,
18.5.9,Ensure 'MSS: (TcpMaxDataRetransmissions IPv6) How many times unacknowledged data is retransmitted' is set to 'Enabled: 3' (Automated),503,18,All,,,,
18.5.10,Ensure 'MSS: (TcpMaxDataRetransmissions) How many times unacknowledged data is retransmitted' is set to 'Enabled: 3' (Automated),505,18,All,,,,
18.5.11,Ensure 'MSS: (WarningLevel) Percentage threshold for the security event log at which the system will generate a warning' is set to 'Enabled: 90% or less' (Automated),507,18,All,,,,
18.6.4.1,Ensure 'Configure multicast DNS (mDNS) protocol' is set to 'Disabled' (Automated),511,18,All,,,,
18.6.4.2,Ensure 'Configure NetBIOS settings' is set to 'Enabled: Disable NetBIOS name resolution on public networks' (Automated),513,18,All,,,,
18.6.4.3,Ensure 'Turn off default IPv6 DNS Servers' is set to 'Enabled' (Automated),515,18,All,,,,
18.6.4.4,Ensure 'Turn off multicast name resolution' is set to 'Enabled' (Automated),517,18,All,,,,
18.6.5.1,Ensure 'Enable Font Providers' is set to 'Disabled' (Automated),520,18,All,,,,
18.6.7.1,Ensure 'Audit client does not support encryption' is set to 'Enabled' (Automated),524,18,All,,,,
18.6.7.2,Ensure 'Audit client does not support signing' is set to 'Enabled' (Automated),526,18,All,,,,
18.6.7.3,Ensure 'Audit insecure guest logon' is set to 'Enabled' (Automated),528,18,All,,,,
18.6.7.4,Ensure 'Enable authentication rate limiter' is set to 'Enabled' (Automated),530,18,All,,,,
18.6.7.5,Ensure 'Enable remote mailslots' is set to 'Disabled' (Automated),532,18,All,,,,
18.6.7.6,Ensure 'Mandate the minimum version of SMB' is set to 'Enabled: 3.1.1' (Automated),534,18,All,,,,
18.6.7.7,Ensure 'Set authentication rate limiter delay (milliseconds)' is set to 'Enabled: 2000' or more (Automated),536,18,All,,,,
18.6.8.1,Ensure 'Audit insecure guest logon' is set to 'Enabled' (Automated),539,18,All,,,,
18.6.8.2,Ensure 'Audit server does not support encryption' is set to 'Enabled' (Automated) . 541,,18,All,,,,
18.6.8.3,Ensure 'Audit server does not support signing' is set to 'Enabled' (Automated),543,18,All,,,,
18.6.8.4,Ensure 'Enable insecure guest logons' is set to 'Disabled' (Automated),545,18,All,,,,
18.6.8.5,Ensure 'Enable remote mailslots' is set to 'Disabled' (Automated),547,18,All,,,,
18.6.8.6,Ensure 'Mandate the minimum version of SMB' is set to 'Enabled: 3.1.1' (Automated),549,18,All,,,,
18.6.8.7,Ensure 'Require Encryption' is set to 'Enabled' (Automated),551,18,All,,,,
18.6.9.1,Ensure 'Turn on Mapper I/O (LLTDIO) driver' is set to 'Disabled' (Automated),554,18,All,,,,
18.6.9.2,Ensure 'Turn on Responder (RSPNDR) driver' is set to 'Disabled' (Automated),556,18,All,,,,
18.6.10.2,Ensure 'Turn off Microsoft Peer-to-Peer Networking Services' is set to 'Enabled' (Automated),560,18,All,,,,
18.6.11.2,Ensure 'Prohibit installation and configuration of Network Bridge on your DNS domain network' is set to 'Enabled' (Automated),564,18,All,,,,
18.6.11.3,Ensure 'Prohibit use of Internet Connection Sharing on your DNS domain network' is set to 'Enabled' (Automated),566,18,All,,,,
18.6.11.4,Ensure 'Require domain users to elevate when setting a network's location' is set to 'Enabled' (Automated),568,18,All,,,,
18.6.14.1,"Ensure 'Hardened UNC Paths' is set to 'Enabled, with ""Require Mutual Authentication"", ""Require Integrity"", and ""Require Privacy"" set for all NETLOGON and SYSVOL shares' (Automated)",572,18,All,,,,
18.6.19.2.1,Disable IPv6 (Ensure TCPIP6 Parameter 'DisabledComponents' is set to '0xff (255)') (Automated),578,18,All,,,,
18.6.20.1,Ensure 'Configuration of wireless settings using Windows Connect Now' is set to 'Disabled' (Automated),581,18,All,,,,
18.6.20.2,Ensure 'Prohibit access of the Windows Connect Now wizards' is set to 'Enabled' (Automated),583,18,All,,,,
18.6.21.1,Ensure 'Minimize the number of simultaneous connections to the Internet or a Windows Domain' is set to 'Enabled: 3 = Prevent Wi-Fi when on Ethernet' (Automated),586,18,All,,,,
18.6.21.2,Ensure 'Prohibit connection to non-domain networks when connected to domain authenticated network' is set to 'Enabled' (MS only) (Automated),588,18,MS only,,,,
18.7.1,Ensure 'Allow Print Spooler to accept client connections' is set to 'Disabled' (Automated),591,18,All,,,,
18.7.2,Ensure 'Configure Redirection Guard' is set to 'Enabled: Redirection Guard Enabled' (Automated),593,18,All,,,,
18.7.3,Ensure 'Configure RPC connection settings: Protocol to use for outgoing RPC connections' is set to 'Enabled: RPC over TCP' (Automated),595,18,All,,,,
18.7.4,Ensure 'Configure RPC connection settings: Use authentication for outgoing RPC connections' is set to 'Enabled: Default' (Automated),597,18,All,,,,
18.7.5,Ensure 'Configure RPC listener settings: Protocols to allow for incoming RPC connections' is set to 'Enabled: RPC over TCP' (Automated),599,18,All,,,,
18.7.6,Ensure 'Configure RPC listener settings: Authentication protocol to use for incoming RPC connections:' is set to 'Enabled: Negotiate' or higher (Automated),601,18,All,,,,
18.7.7,Ensure 'Configure RPC over TCP port' is set to 'Enabled: 0' (Automated),603,18,All,,,,
18.7.8,Ensure 'Configure RPC packet level privacy setting for incoming connections' is set to 'Enabled' (Automated),605,18,All,,,,
18.7.9,Ensure 'Configure Windows protected print' is set to 'Enabled' (Automated),607,18,All,,,,
18.7.10,Ensure 'Limits print driver installation to Administrators' is set to 'Enabled' (Automated),609,18,All,,,,
18.7.11,Ensure 'Manage processing of Queue-specific files' is set to 'Enabled: Limit Queue- specific files to Color profiles' (Automated),611,18,All,,,,
18.7.12,Ensure 'Point and Print Restrictions: When installing drivers for a new connection' is set to 'Enabled: Show warning and elevation prompt' (Automated),613,18,All,,,,
18.7.13,Ensure 'Point and Print Restrictions: When updating drivers for an existing connection' is set to 'Enabled: Show warning and elevation prompt' (Automated),615,18,All,,,,
18.7.14,Ensure 'Require IPPS for IPP printers' is set to 'Enabled' (Automated),617,18,All,,,,
18.7.15,Ensure 'Set TLS/SSL security policy for IPP printers: Disallow invalid certificate authority' is set to 'Enabled: Checked' (Automated),619,18,All,,,,
18.7.16,Ensure 'Set TLS/SSL security policy for IPP printers: Disallow non-server certificates' is set to 'Enabled: Checked' (Automated),621,18,All,,,,
18.7.17,Ensure 'Set TLS/SSL security policy for IPP printers: Disallow invalid certificate common name' is set to 'Enabled: Checked' (Automated),623,18,All,,,,
18.7.18,Ensure 'Set TLS/SSL security policy for IPP printers: Disallow invalid certificate date' is set to 'Enabled: Checked' (Automated),625,18,All,,,,
18.8.1.1,Ensure 'Turn off notifications network usage' is set to 'Enabled' (Automated),629,18,All,,,,
18.9.3.1,Ensure 'Include command line in process creation events' is set to 'Enabled' (Automated),633,18,All,,,,
18.9.4.1,Ensure 'Encryption Oracle Remediation' is set to 'Enabled: Force Updated Clients' (Automated),636,18,All,,,,
18.9.4.2,Ensure 'Remote host allows delegation of non-exportable credentials' is set to 'Enabled' (Automated),638,18,All,,,,
18.9.5.1,Ensure 'Turn On Virtualization Based Security' is set to 'Enabled' (Automated),641,18,All,,,,
18.9.5.2,Ensure 'Turn On Virtualization Based Security: Select Platform Security Level' is set to 'Secure Boot' or higher (Automated),643,18,All,,,,
18.9.5.3,Ensure 'Turn On Virtualization Based Security: Virtualization Based Protection of Code Integrity' is set to 'Enabled with UEFI lock' (Automated),645,18,All,,,,
18.9.5.4,Ensure 'Turn On Virtualization Based Security: Require UEFI Memory Attributes Table' is set to 'True (checked)' (Automated),647,18,All,,,,
18.9.5.5,Ensure 'Turn On Virtualization Based Security: Credential Guard Configuration' is set to 'Enabled with UEFI lock' (MS Only) (Automated),649,18,All,,,,
18.9.5.6,Ensure 'Turn On Virtualization Based Security: Credential Guard Configuration' is set to 'Disabled' (DC Only) (Automated),652,18,All,,,,
18.9.5.7,Ensure 'Turn On Virtualization Based Security: Secure Launch Configuration' is set to 'Enabled' (Automated),654,18,All,,,,
18.9.7.2,Ensure 'Prevent automatic download of applications associated with device metadata' is set to 'Enabled' (Automated),658,18,All,,,,
18.9.13.1,"Ensure 'Boot-Start Driver Initialization Policy' is set to 'Enabled: Good, unknown and bad but critical' (Automated)",662,18,All,,,,
18.9.17.1,Ensure 'Enable / disable CLFS logfile authentication' is set to 'Enabled' (Automated),666,18,All,,,,
18.9.19.2,Ensure 'Configure security policy processing: Do not apply during periodic background processing' is set to 'Enabled: FALSE' (Automated),670,18,All,,,,
18.9.19.3,Ensure 'Configure security policy processing: Process even if the Group Policy objects have not changed' is set to 'Enabled: TRUE' (Automated),672,18,All,,,,
18.9.19.4,Ensure 'Continue experiences on this device' is set to 'Disabled' (Automated),674,18,All,,,,
18.9.19.5,Ensure 'Turn off background refresh of Group Policy' is set to 'Disabled' (Automated),676,18,All,,,,
18.9.20.1.1,Ensure 'Turn off downloading of print drivers over HTTP' is set to 'Enabled' (Automated),680,18,All,,,,
18.9.20.1.2,Ensure 'Turn off handwriting personalization data sharing' is set to 'Enabled' (Automated),682,18,All,,,,
18.9.20.1.3,Ensure 'Turn off handwriting recognition error reporting' is set to 'Enabled' (Automated),684,18,All,,,,
18.9.20.1.4,Ensure 'Turn off Internet Connection Wizard if URL connection is referring to Microsoft.com' is set to 'Enabled' (Automated),686,18,All,,,,
18.9.20.1.5,Ensure 'Turn off Internet download for Web publishing and online ordering wizards' is set to 'Enabled' (Automated),688,18,All,,,,
18.9.20.1.6,Ensure 'Turn off printing over HTTP' is set to 'Enabled' (Automated),690,18,All,,,,
18.9.20.1.7,Ensure 'Turn off Registration if URL connection is referring to Microsoft.com' is set to 'Enabled' (Automated),692,18,All,,,,
18.9.20.1.8,Ensure 'Turn off Search Companion content file updates' is set to 'Enabled' (Automated),694,18,All,,,,
18.9.20.1.9,"Ensure 'Turn off the ""Order Prints"" picture task' is set to 'Enabled' (Automated) 696",,18,All,,,,
18.9.20.1.10,"Ensure 'Turn off the ""Publish to Web"" task for files and folders' is set to 'Enabled' (Automated)",698,18,All,,,,
18.9.20.1.11,Ensure 'Turn off the Windows Messenger Customer Experience Improvement Program' is set to 'Enabled' (Automated),700,18,All,,,,
18.9.20.1.12,Ensure 'Turn off Windows Customer Experience Improvement Program' is set to 'Enabled' (Automated),702,18,All,,,,
18.9.20.1.13,Ensure 'Turn off Windows Error Reporting' is set to 'Enabled' (Automated),704,18,All,,,,
18.9.23.1,Ensure 'Support device authentication using certificate' is set to 'Enabled: Automatic' (Automated),708,18,All,,,,
18.9.24.1,Ensure 'Enumeration policy for external devices incompatible with Kernel DMA Protection' is set to 'Enabled: Block All' (Automated),711,18,All,,,,
18.9.26.1,Ensure 'Configure password backup directory' is set to 'Enabled: Active Directory' or 'Enabled: Azure Active Directory' (Automated),715,18,All,,,,
18.9.26.2,Ensure 'Do not allow password expiration time longer than required by policy' is set to 'Enabled' (Automated),717,18,All,,,,
18.9.26.3,Ensure 'Enable password encryption' is set to 'Enabled' (Automated),719,18,All,,,,
18.9.26.4,Ensure 'Password Settings: Password Complexity' is set to 'Enabled: Large letters + small letters + numbers + special characters' or 'Passphrase' (Automated),721,18,All,,,,
18.9.26.5,Ensure 'Password Settings: Password Length' is set to 'Enabled: 15 or more' (Automated),724,18,All,,,,
18.9.26.6,Ensure 'Password Settings: Password Age (Days)' is set to 'Enabled: 30 or fewer' (Automated),727,18,All,,,,
18.9.26.7,"Ensure 'Post-authentication actions: Grace period (hours)' is set to 'Enabled: 8 or fewer hours, but not 0' (Automated)",729,18,All,,,,
18.9.26.8,Ensure 'Post-authentication actions: Actions' is set to 'Enabled: Reset the password and logoff the managed account' or higher (Automated),731,18,All,,,,
18.9.27.1,Ensure 'Allow Custom SSPs and APs to be loaded into LSASS' is set to 'Disabled' (DC only) (Automated),735,18,DC only,,,,
18.9.27.2,Ensure 'Configures LSASS to run as a protected process' is set to 'Enabled: Enabled with UEFI Lock' (Automated),737,18,All,,,,
18.9.28.1,Ensure 'Disallow copying of user input methods to the system account for sign-in' is set to 'Enabled' (Automated),741,18,All,,,,
18.9.29.1,Ensure 'Block user from showing account details on sign-in' is set to 'Enabled' (Automated),744,18,All,,,,
18.9.29.2,Ensure 'Do not display network selection UI' is set to 'Enabled' (Automated),746,18,All,,,,
18.9.29.3,Ensure 'Do not enumerate connected users on domain-joined computers' is set to 'Enabled' (Automated),748,18,All,,,,
18.9.29.4,Ensure 'Enumerate local users on domain-joined computers' is set to 'Disabled' (MS only) (Automated),750,18,MS only,,,,
18.9.29.5,Ensure 'Turn off app notifications on the lock screen' is set to 'Enabled' (Automated),752,18,All,,,,
18.9.29.6,Ensure 'Turn on convenience PIN sign-in' is set to 'Disabled' (Automated),754,18,All,,,,
18.9.31.1.1,Ensure 'Block NetBIOS-based discovery for domain controller location' is set to 'Enabled' (Automated),758,18,All,,,,
18.9.33.1,Ensure 'Allow Clipboard synchronization across devices' is set to 'Disabled' (Automated),762,18,All,,,,
18.9.33.2,Ensure 'Allow upload of User Activities' is set to 'Disabled' (Automated),764,18,All,,,,
18.9.35.6.1,Ensure 'Allow network connectivity during connected-standby (on battery)' is set to 'Disabled' (Automated),769,18,All,,,,
18.9.35.6.2,Ensure 'Allow network connectivity during connected-standby (plugged in)' is set to 'Disabled' (Automated),771,18,All,,,,
18.9.35.6.3,Ensure 'Require a password when a computer wakes (on battery)' is set to 'Enabled' (Automated),773,18,All,,,,
18.9.35.6.4,Ensure 'Require a password when a computer wakes (plugged in)' is set to 'Enabled' (Automated),775,18,All,,,,
18.9.37.1,Ensure 'Configure Offer Remote Assistance' is set to 'Disabled' (Automated),779,18,All,,,,
18.9.37.2,Ensure 'Configure Solicited Remote Assistance' is set to 'Disabled' (Automated) . 781,,18,All,,,,
18.9.38.1,Ensure 'Enable RPC Endpoint Mapper Client Authentication' is set to 'Enabled' (MS only) (Automated),784,18,MS only,,,,
18.9.38.2,Ensure 'Restrict Unauthenticated RPC clients' is set to 'Enabled: Authenticated' (MS only) (Automated),786,18,MS only,,,,
18.9.41.1,Ensure 'Configure validation of ROCA-vulnerable WHfB keys during authentication' is set to 'Enabled: Block' (DC only) (Automated),790,18,DC only,,,,
18.9.41.2,Ensure 'Configure SAM change password RPC methods policy' is set to 'Enabled: Allow strong encryption change password RPC method only' (DC only) (Automated),792,18,DC only,,,,
18.9.41.3,Ensure 'Configure SAM change password RPC methods policy' is set to 'Enabled: Block all change password RPC methods' (MS only) (Automated),794,18,MS only,,,,
18.9.49.5.1,Ensure 'Microsoft Support Diagnostic Tool: Turn on MSDT interactive communication with support provider' is set to 'Disabled' (Automated),800,18,All,,,,
18.9.49.11.1,Ensure 'Enable/Disable PerfTrack' is set to 'Disabled' (Automated),804,18,All,,,,
18.9.51.1,Ensure 'Turn off the advertising ID' is set to 'Enabled' (Automated),808,18,All,,,,
18.9.53.1.1,Ensure 'Enable Windows NTP Client' is set to 'Enabled' (Automated),812,18,All,,,,
18.9.53.1.2,Ensure 'Enable Windows NTP Server' is set to 'Disabled' (MS only) (Automated),814,18,MS only,,,,
18.10.4.1,Ensure 'Allow a Windows app to share application data between users' is set to 'Disabled' (Automated),818,18,All,,,,
18.10.4.2,Ensure 'Not allow per-user unsigned packages to install by default (requires explicitly allow per install)' is set to 'Enabled' (Automated),820,18,All,,,,
18.10.6.1,Ensure 'Allow Microsoft accounts to be optional' is set to 'Enabled' (Automated) . 824,,18,All,,,,
18.10.8.1,Ensure 'Disallow Autoplay for non-volume devices' is set to 'Enabled' (Automated),828,18,All,,,,
18.10.8.2,Ensure 'Set the default behavior for AutoRun' is set to 'Enabled: Do not execute any autorun commands' (Automated),830,18,All,,,,
18.10.8.3,Ensure 'Turn off Autoplay' is set to 'Enabled: All drives' (Automated),832,18,All,,,,
18.10.9.1.1,Ensure 'Configure enhanced anti-spoofing' is set to 'Enabled' (Automated),836,18,All,,,,
18.10.11.1,Ensure 'Allow Use of Camera' is set to 'Disabled' (Automated),840,18,All,,,,
18.10.13.1,Ensure 'Turn off cloud consumer account state content' is set to 'Enabled' (Automated),844,18,All,,,,
18.10.13.2,Ensure 'Turn off cloud optimized content' is set to 'Enabled' (Automated),846,18,All,,,,
18.10.14.1,Ensure 'Require pin for pairing' is set to 'Enabled: First Time' OR 'Enabled: Always' (Automated),849,18,All,,,,
18.10.15.1,Ensure 'Do not display the password reveal button' is set to 'Enabled' (Automated),852,18,All,,,,
18.10.15.2,Ensure 'Enumerate administrator accounts on elevation' is set to 'Disabled' (Automated),854,18,All,,,,
18.10.16.1,Ensure 'Allow Diagnostic Data' is set to 'Enabled: Diagnostic data off (not recommended)' or 'Enabled: Send required diagnostic data' (Automated),857,18,All,,,,
18.10.16.2,Ensure 'Configure Authenticated Proxy usage for the Connected User Experience and Telemetry service' is set to 'Enabled: Disable Authenticated Proxy usage' (Automated) 860,,18,All,,,,
18.10.16.3,Ensure 'Do not show feedback notifications' is set to 'Enabled' (Automated),862,18,All,,,,
18.10.16.4,Ensure 'Enable OneSettings Auditing' is set to 'Enabled' (Automated),864,18,All,,,,
18.10.16.5,Ensure 'Limit Diagnostic Log Collection' is set to 'Enabled' (Automated),866,18,All,,,,
18.10.16.6,Ensure 'Limit Dump Collection' is set to 'Enabled' (Automated),868,18,All,,,,
18.10.18.1,Ensure 'Enable App Installer' is set to 'Disabled' (Automated),872,18,All,,,,
18.10.18.2,Ensure 'Enable App Installer Experimental Features' is set to 'Disabled' (Automated),874,18,All,,,,
18.10.18.3,Ensure 'Enable App Installer Hash Override' is set to 'Disabled' (Automated),876,18,All,,,,
18.10.18.4,Ensure 'Enable App Installer Local Archive Malware Scan Override' is set to 'Disabled' (Automated),878,18,All,,,,
18.10.18.5,Ensure 'Enable App Installer ms-appinstaller protocol' is set to 'Disabled' (Automated),880,18,All,,,,
18.10.18.6,Ensure 'Enable App Installer Microsoft Store Source Certificate Validation Bypass' is set to 'Disabled' (Automated),882,18,All,,,,
18.10.18.7,Ensure 'Enable Windows Package Manager command line interfaces' is set to 'Disabled' (Automated),884,18,All,,,,
18.10.26.1.1,Ensure 'Application: Control Event Log behavior when the log file reaches its maximum size' is set to 'Disabled' (Automated),889,18,All,,,,
18.10.26.1.2,"Ensure 'Application: Specify the maximum log file size (KB)' is set to 'Enabled: 32,768 or greater' (Automated)",891,18,All,,,,
18.10.26.2.1,Ensure 'Security: Control Event Log behavior when the log file reaches its maximum size' is set to 'Disabled' (Automated),894,18,All,,,,
18.10.26.2.2,"Ensure 'Security: Specify the maximum log file size (KB)' is set to 'Enabled: 196,608 or greater' (Automated)",896,18,All,,,,
18.10.26.3.1,Ensure 'Setup: Control Event Log behavior when the log file reaches its maximum size' is set to 'Disabled' (Automated),899,18,All,,,,
18.10.26.3.2,"Ensure 'Setup: Specify the maximum log file size (KB)' is set to 'Enabled: 32,768 or greater' (Automated)",901,18,All,,,,
18.10.26.4.1,Ensure 'System: Control Event Log behavior when the log file reaches its maximum size' is set to 'Disabled' (Automated),904,18,All,,,,
18.10.26.4.2,"Ensure 'System: Specify the maximum log file size (KB)' is set to 'Enabled: 32,768 or greater' (Automated)",906,18,All,,,,
18.10.29.2,Ensure 'Do not apply the Mark of the Web tag to files copied from insecure sources' is set to 'Disabled' (Automated),910,18,All,,,,
18.10.29.3,Ensure 'Turn off Data Execution Prevention for Explorer' is set to 'Disabled' (Automated),912,18,All,,,,
18.10.29.4,Ensure 'Turn off heap termination on corruption' is set to 'Disabled' (Automated),914,18,All,,,,
18.10.29.5,Ensure 'Turn off shell protocol protected mode' is set to 'Disabled' (Automated) 916,,18,All,,,,
18.10.36.1,Ensure 'Turn off location' is set to 'Enabled' (Automated),921,18,All,,,,
18.10.40.1,Ensure 'Allow Message Service Cloud Sync' is set to 'Disabled' (Automated),925,18,All,,,,
18.10.41.1,Ensure 'Block all consumer Microsoft account user authentication' is set to 'Enabled' (Automated),928,18,All,,,,
18.10.42.4.1,Ensure 'Enable EDR in block mode' is set to 'Enabled' (Automated),932,18,All,,,,
18.10.42.5.1,Ensure 'Configure local setting override for reporting to Microsoft MAPS' is set to 'Disabled' (Automated),935,18,All,,,,
18.10.42.5.2,Ensure 'Join Microsoft MAPS' is set to 'Enabled: Advanced' (Automated),937,18,All,,,,
18.10.42.6.1.1,Ensure 'Configure Attack Surface Reduction rules' is set to 'Enabled' (Automated),941,18,All,,,,
18.10.42.6.1.2,Ensure 'Configure Attack Surface Reduction rules: Set the state for each ASR rule' is configured (Automated),943,18,All,,,,
18.10.42.6.3.1,Ensure 'Prevent users and apps from accessing dangerous websites' is set to 'Enabled: Block' (Automated),949,18,All,,,,
18.10.42.7.1,Ensure 'Enable file hash computation feature' is set to 'Enabled' (Automated) 952,,18,All,,,,
18.10.42.8.1,Ensure 'Convert warn verdict to block' is set to 'Enabled' (Automated),955,18,All,,,,
18.10.42.10.1,Ensure 'Configure real-time protection and Security Intelligence Updates during OOBE' is set to 'Enabled' (Automated),959,18,All,,,,
18.10.42.10.2,Ensure 'Scan all downloaded files and attachments' is set to 'Enabled' (Automated),961,18,All,,,,
18.10.42.10.3,Ensure 'Turn off real-time protection' is set to 'Disabled' (Automated),963,18,All,,,,
18.10.42.10.4,Ensure 'Turn on behavior monitoring' is set to 'Enabled' (Automated),965,18,All,,,,
18.10.42.10.5,Ensure 'Turn on script scanning' is set to 'Enabled' (Automated),967,18,All,,,,
18.10.42.11.1.1.1,Ensure 'Configure Brute-Force Protection aggressiveness' is set to 'Enabled: Medium' or higher (Automated),971,18,All,,,,
18.10.42.11.1.1.2,Ensure 'Configure Remote Encryption Protection Mode' is set to 'Enabled: Audit' or higher (Automated),973,18,All,,,,
18.10.42.11.1.2.1,Ensure 'Configure how aggressively Remote Encryption Protection blocks threats' is set to 'Enabled: Medium' or higher (Automated),976,18,All,,,,
18.10.42.12.1,Ensure 'Configure Watson events' is set to 'Disabled' (Automated),979,18,All,,,,
18.10.42.13.1,Ensure 'Scan excluded files and directories during quick scans' is set to 'Enabled: 1' (Automated),982,18,All,,,,
18.10.42.13.2,Ensure 'Scan packed executables' is set to 'Enabled' (Automated),984,18,All,,,,
18.10.42.13.3,Ensure 'Scan removable drives' is set to 'Enabled' (Automated),986,18,All,,,,
18.10.42.13.4,Ensure 'Trigger a quick scan after X days without any scans' is set to 'Enabled: 7' (Automated),988,18,All,,,,
18.10.42.13.5,Ensure 'Turn on e-mail scanning' is set to 'Enabled' (Automated),990,18,All,,,,
18.10.42.16,Ensure 'Configure detection for potentially unwanted applications' is set to 'Enabled: Block' (Automated),994,18,All,,,,
18.10.42.17,Ensure 'Control whether exclusions are visible to local users' is set to 'Enabled' (Automated),996,18,All,,,,
18.10.56.1,Ensure 'Turn off Push To Install service' is set to 'Enabled' (Automated),1002,18,All,,,,
18.10.57.2.2,Ensure 'Do not allow passwords to be saved' is set to 'Enabled' (Automated)1006,,18,All,,,,
18.10.57.3.2.1,Ensure 'Restrict Remote Desktop Services users to a single Remote Desktop Services session' is set to 'Enabled' (Automated),1010,18,All,,,,
18.10.57.3.3.1,Ensure 'Allow UI Automation redirection' is set to 'Disabled' (Automated),1013,18,All,,,,
18.10.57.3.3.2,Ensure 'Do not allow COM port redirection' is set to 'Enabled' (Automated) 1015,,18,All,,,,
